ᚠ;Aza;Beginning, fire, spark of life;A
ᚢ;Borr;Strength, persistence, earth;B
ᚦ;Thul;Knowledge, magic, secret wisdom;H
ᚨ;Korr;Protection, shelter, solidity;K
ᚱ;Run;Secret, writing, magic;R
ᚲ;Ceryn;Fire, lightning, destruction –;K
ᚷ;Gald;Song, chant, oration;G
ᚹ;Wyn;Happiness, fate's favor –;W
ᚺ;Harn;House, home, safety;H
ᚾ;Nyth;Water, flow, adaptability;N
ᛁ;Isen;Ice, rigidity, obstacle;I
ᛃ;Jorr;Fertility, growth –;Y
ᛇ;Ehwaz;Movement, change, travel;E
ᛈ;Perun;Fate, chance, mystery;P
ᛉ;Zar;Protection, amulet, blessing;Z
ᛋ;Syr;Sun, light, illumination;S
ᛏ;Tyrn;Justice, battle, courage;T
ᛒ;Balth;Death, passing, rebirth;B (D)
ᛖ;Eryn;Fertile soil, harvest, prosperity;E
ᛗ;Morn;Embers, community, alliance;M
ᛚ;Luth;Balance, order, nature;L
ᛜ;Ngor;Hidden strength, depth, subconscious;G
ᛞ;Dorn;Gate, transition, new paths;D
ᛟ;Orrin;Heritage, bloodline, past;O
ᛠ;Aerth;Spirit, divine connection;E
ᛡ;Yren;Future, dreams, visions;Y
ᛢ;Quar;Violence, power, domination;Q
ᛣ;Charr;Fire and metal, forging;H
ᛤ;Xyn;Foreignness, chaos, unknown;X
ᛥ;Phor;Soul, breath, inspiration – ;H
