English;Magyar
1D100;1K100
1D10;1K10
1D1;1K1
1D2;1K2
1D3;1K3
1D5;1K5
1D6;1K6
2D6;2K6
3D100;3K100
3D6;3K6
Abbit steel breast plate;Abbitacél mellvért
Abbit steel chain mail;Abbitacél sodronying
Abbit steel full plate;Abbitacél teljes vértezet
Abbit steel half plate;Abbitacél félvértezet
Abbit steel laminar armour;Abbitacél lemezvértezet
Abbit steel scale armour;Abbitacél pikkelyvért
Abilities;Képességek
About;Névjegy
Accessories;Kiegészítők
Accomodation;Szállás
Agriculture;Földművelés
Aiming value;Célzó érték
AimV;CÉ
Alchemy;Alkímia
Alidari woman;Alidari nő
All music;Összes zene
All sound effects;Összes hangeffektus
Amund;Amund
Animal breeding;Állattenyésztés
Animals;Állatok
Antient language knowledge;Ősi nyelv ismerete
Aquir;Aquir
Aquirian crossbow;Aquirian nyílpuska
Architecture;Építészet
Arel priest;Arel pap
Ark;Bárka
Armors;Páncélok
Astral;Asztrál
Attacking value;Támadó érték
Auto;Automatikus
AV;TÉ
Backpack, big;Hátizsák, nagy
Backpack, small;Hátizsák, kicsi
Backstab;Hátbaszúrás
Bard;Bárd
Bard magic;Bárd mágia
Bare-hand master;Harcművész
Barrel, big;Hordó, nagy
Barrel, small;Hordó, kicsi
Basic level;Alapfok
Basket;Kosár
Bastard sword;Máskélkezes kard
Bath;Fürdő
Battle ax;Csatacsákány
Beauty;Szépség
Beer, mug;Sör, korsó
Bell;Csengő
Belt holster;Övtáska
Belt;Öv
Better hearing;Jobb hallás
Better seeing;Jobb látás
Better sniffing;Jobb szaglás
Bl;Af
Blanket;Takaró
Blind fighting;Vakharc
Blow pipe;Fúvócső
Boat;Csónak
Boat paddles;Csónak evező
Bola;Bola
Boot making;Cipő készítés
Boots;Bakancs
Boots, riding;Csizma, lovagló
Boots, walking;Csizma, gyalogos
Brandy, glass;Pálinka, üveg
Bravery;Bátorság
Brigandine armor;Brigantin
Broadsword;Pallos
Bronze breast plate;Bronz mellvért
Bronze full plate;Bronz teljes vértezet
Bronze half plate;Bronz félvértezet
Bronze laminar armour;Bronz lemezvértezet
Bronze scale armour;Bronz pikkelyvért
Browse;Tallózás
Bucket;Vödör
Butter, kilo;Vaj, kiló
Caftan;Kaftán
Calf;Borjú
Camel;Teve
Camouflage or disguise;Álcázás/álruha
Candle;Gyertya
Canoe;Kenu
Cape, fabric;Köpeny, szövet
Cape, fur;Köpeny, prém
Cape, silk;Köpeny, selyem
Cap;Sapka
Caravel;Karavella
Card sharper;Hamiskártya
Carpenter;Ács
Carriage;Kocsi
Cart;Kordé
Cartography;Térképészet
Cart wheel;Szekér kerék
Carved club;Furkósbot
Caste;Kaszt
Castes;Kasztok
Cast iron footed bowl;Vaslábas
Cat;Macska
Center;Középre
Chain mace;Láncos buzogány
Chain, meter;Lánc, métere
Chalk;Kréta
Character already exists, do you want to owerwrite it?;A karakter már létezik, szeretné felülírni?
Character;Karakter
Character sheet;Karakterlap
Character sheet (odt);Karakterlap (odt)
Character sheet (pdf);Karakterlap (pdf)
Characters;Karakterek
Chariot tools;Szekér szerszám
Cheese;Sajt
Chest, big;Láda, nagy
Chest, small;Láda, kicsi
Chicken;Csirke
Chiffon;Köntös
Climbing-irons;Mászóvas
Climbing;Mászás
Clothes;Ruhák
Coat;Kabát
Coinage;Pénzverés
Combat;Harc
Combat saddle;Nyereg, harci
Common spice;Közönséges fűszer
Confirmation;Megerősítés
Copper;Réz
Cow;Tehén
Craftsman;Kézműves
Created by;Készítette
Dagger Sleeve;Tőrhüvely
Dagger;Tőr
Dahr;Dahr
Dancing;Tánc
Darton paladin;Darton paplovag
Deadbolt/padlock;Zár/lakat
Debauchery;Kicsapongás
Defending dagger;Hárítótőr
Defending value;Védő érték
Demonology;Demonológia
Dexterity;Ügyesség
Disarmament;Lefegyverzés
Dog, fighting;Kutya, harci
Dog, housekeeper;Kutya, házőrző
Dog, hunter;Kutya, vadász
Dog sledge;Kutyaszán
Dog, sledge;Kutya, szánhúzó
Domvik paladin;Domvik paplovag
Domvik priest;Domvik pap
Done;Kész
Donkey;Szamár
Dracker;Dracker
Drakkar;Drakkar
Dreina paladin;Dreina paplovag
Dressage training;Idomítás
DV;VÉ
Dwarf;Törpe
Earthenware;Agyagedény
Easy crossbow;Könnyű nyílpuska
Eggs, dozens;Tojás, tucat
Életkor;Age
Elf;Elf
Elvish bow;Elf íj
Elvish dagger;Elf tőr
English;Angol
Erudition;Műveltség
Etiquette;Etikett
Exit;Kilépés
Fabric, ell;Szövet, rőf
Falling;Esés
Faun;Faun
Feathered mace;Tollas buzogány
Feenhar;Feenhar
Ferry;Komp
Ferryman;Révész
Fight values;Harcértékek
File;Fájl
Filter;Szűrés
Fire-elf;Tűzelf
Fire steel;Tűzszerszám
Fire wizard magic;Tűzvarázsló mágia
Fire wizard;Tűzvarázsló
Fishing hook;Horgász horog
Fishing & Hunting;Vadászat/Halászat
Fishing net;Halászháló
Fish, one dose;Hal, egy adag
Fist fighting;Ökölharc
Fist;Ököl
Flail;Cséphadaró
Flask;Kulacs
Flint and steel;Kova és acél
